Scenario,Target_Step_Load,Throughput_RPS,Avg_Latency_ms,P99_Latency_ms,Error_Rate_%
1. Redis Only,100,115785.50,0.6689,0.8218,0.00
1. Redis Only,500,235017.63,0.3606,0.4336,0.00
1. Redis Only,1000,143750.45,0.6626,2.4628,0.00
1. Redis Only,2500,427721.12,0.2086,0.2575,0.00
2. Fabric Only,100,596.69,98.0890,164.0652,100.00
2. Fabric Only,500,1598.59,40.8944,64.6412,100.00
2. Fabric Only,1000,1643.68,40.1939,59.7791,100.00
2. Fabric Only,2500,1905.26,33.4890,51.7550,100.00
3. BC-BLPM (Sync),100,1862.30,50.6762,53.5668,100.00
3. BC-BLPM (Sync),500,1797.03,52.6654,58.7587,100.00
3. BC-BLPM (Sync),1000,1851.99,51.2147,57.7796,100.00
3. BC-BLPM (Sync),2500,1845.71,51.2701,80.5056,100.00
4. Proposed MLVM,100,28907.30,3.2872,3.4485,0.00
4. Proposed MLVM,500,45615.45,2.1556,2.3628,0.00
4. Proposed MLVM,1000,56015.87,1.7560,1.9282,0.00
4. Proposed MLVM,2500,60094.35,1.6381,3.8394,0.00