VM_ID,VM_Level,Compartment,Total_Resources,Used_Resources,Remaining_Resources,Allocated_Tasks,Scale_Events,CPU_Available,Memory_Available,Load,Queue,Risk,Trust,Utilization_Rate_%
vm-01,L0,finance,525,322,203,133,3,0.6754,0.0846,0.6133,0.8276,0.0215,0.6217,61.33
vm-02,L1,research,600,441,159,104,4,0.5307,0.0043,0.735,1,0.0573,0.6709,73.50
vm-03,L2,finance,525,418,107,112,3,0.3582,0.0168,0.7962,1,0.0932,0.7352,79.62
vm-04,L3,research,600,521,79,57,4,0.2647,0.0053,0.8683,1,0.129,0.6952,86.83
vm-05,L4,finance,600,540,60,105,4,0.1991,0.0884,0.9,1,0.1649,0.6509,90.00
vm-06,L5,research,600,504,96,78,4,0.3192,0.0058,0.84,1,0.2007,0.644,84.00
vm-07,L0,research,600,440,160,129,4,0.5337,0.0013,0.7333,1,0.1891,0.7503,73.33
vm-08,L1,finance,300,50,250,0,0,0.8335,0.794,0.1665,0.0269,0.2249,0.7541,16.67
vm-09,L2,research,600,520,80,137,4,0.2687,0.0013,0.8667,1,0.1628,0.6587,86.67
vm-10,L3,finance,600,463,137,48,4,0.4576,0.0074,0.7717,1,0.1986,0.762,77.17
vm-11,L4,research,600,502,98,94,4,0.3251,0.0074,0.8367,1,0.1064,0.6079,83.67
vm-12,L5,finance,600,541,59,88,4,0.1951,0.0124,0.9017,1,0.0948,0.6712,90.17
vm-13,L0,finance,300,198,102,76,0,0.3391,0.1709,0.66,0.6773,0.1306,0.7098,66.00
vm-14,L1,research,525,450,75,105,3,0.2505,0.037,0.8571,1,0.1665,0.6241,85.71
vm-15,L2,finance,525,379,146,97,3,0.4876,0.0999,0.7219,0.9039,0.2023,0.636,72.19
vm-16,L3,research,600,500,100,53,4,0.3343,0.0132,0.8333,1,0.2382,0.6877,83.33
vm-17,L4,finance,600,543,57,103,4,0.1912,0.0013,0.905,1,0.1285,0.7494,90.50
vm-18,L5,research,600,582,18,96,4,0.0584,0.0016,0.97,1,0.1644,0.5953,97.00
vm-19,L0,research,300,36,264,0,0,0.879,0.606,0.121,0.0706,0.2002,0.8871,12.00
vm-20,L1,finance,600,459,141,108,4,0.4701,0.0099,0.765,1,0.1081,0.7042,76.50